"","I","L","SNR","ci_width","samp","t.rho","seeds","samp.1"
"145",200,50,0.1,0.897041434139531,0.274646103815521,0.5,855179,0.274646103815521
"146",200,100,0.2,0.274167670495782,0.235797953140185,0.5,777349,0.235797953140185
"147",100,100,0.1,1.07235401579485,0.392662680848752,0,232614,0.392662680848752
"148",200,100,0.1,0.639957105470257,0.277346468074926,0,865066,0.277346468074926
"149",100,100,0.1,0.843816014732656,0.392337992999815,0.5,45503,0.392337992999815
"150",200,100,0.1,0.486912234598039,0.258392301525977,0.5,817460,0.258392301525977
"151",100,100,0.2,0.488747492558151,0.392836048189159,0,77958,0.392836048189159
"152",200,100,0.2,0.33440494212025,0.2773001510918,0,707197,0.2773001510918
"153",100,100,0.2,0.37217157198123,0.311850882621189,0.5,837338,0.311850882621189
"154",200,100,0.2,0.295454073289388,0.243976176182918,0.5,546795,0.243976176182918
"155",100,100,0.1,0.812711602594666,0.392800898833327,0,694118,0.392800898833327
"156",100,50,0.2,0.558179035433271,0.385633799954695,0,7103,0.385633799954695
"157",200,100,0.1,0.529543205184859,0.275688667455139,0,515934,0.275688667455139
"158",100,100,0.1,0.626063715880215,0.376886445243536,0.5,562712,0.376886445243536
"159",200,100,0.1,0.55969741626403,0.274338320356487,0.5,84284,0.274338320356487
"160",100,100,0.2,0.475519928283407,0.390214291636761,0,80043,0.390214291636761
"161",200,100,0.2,0.350350569266829,0.277420738768043,0,281073,0.277420738768043
"162",100,100,0.2,0.321491777549737,0.278412056091279,0.5,180859,0.278412056091279
"163",200,100,0.2,0.26282295585609,0.223356822072385,0.5,330821,0.223356822072385
"164",100,100,0.1,0.806878948570431,0.385251584507752,0,193290,0.385251584507752
"165",200,100,0.1,0.533468934217091,0.277406556249653,0,606125,0.277406556249653
"166",100,100,0.1,0.781348318896286,0.370394097203765,0.5,809156,0.370394097203765
"167",200,50,0.2,0.388922483952668,0.272640870815304,0,894051,0.272640870815304
"168",200,100,0.1,0.51794137419002,0.269034798615952,0.5,99959,0.269034798615952
"169",100,100,0.2,0.50112595612194,0.388104498760059,0,510503,0.388104498760059
"170",200,100,0.2,0.352216756970275,0.270554684999919,0,185703,0.270554684999919
"171",100,100,0.2,0.405071275435852,0.33000141584186,0.5,411249,0.33000141584186
"172",200,100,0.2,0.283102497818509,0.229599653865595,0.5,934176,0.229599653865595
"173",100,100,0.1,0.706244486391683,0.377844367466732,0,136814,0.377844367466732
"174",200,100,0.1,0.603009365975348,0.276231644378363,0,917657,0.276231644378363
"175",100,100,0.1,1.01977803526631,0.392791231112908,0.5,270466,0.392791231112908
"176",200,100,0.1,0.421642555692915,0.245347867229005,0.5,734349,0.245347867229005
"177",100,100,0.2,0.474456970276769,0.392161468542714,0,527475,0.392161468542714
"178",100,50,0.2,0.465872561567374,0.332523448256709,0.5,654733,0.332523448256709
"179",200,100,0.2,0.352860640657922,0.272400640007,0,430872,0.272400640007
"180",100,100,0.2,0.386613178229041,0.328767810560887,0.5,121953,0.328767810560887
"181",200,100,0.2,0.284571929567797,0.234919051037708,0.5,186004,0.234919051037708
"182",100,100,0.1,0.66180043458847,0.392691609873967,0,893919,0.392691609873967
"183",200,100,0.1,0.527500927182166,0.277291978753195,0,802810,0.277291978753195
"184",100,100,0.1,0.743026114540985,0.377171282048535,0.5,814698,0.377171282048535
"185",200,100,0.1,0.579499195028529,0.270310127430948,0.5,528333,0.270310127430948
"186",100,100,0.2,0.442480730462477,0.389022524569431,0,983278,0.389022524569431
"187",200,100,0.2,0.349154489510235,0.276192041129208,0,771998,0.276192041129208
"188",100,100,0.2,0.344584518160447,0.301899346050579,0.5,164304,0.301899346050579
"189",200,50,0.2,0.282945014486719,0.223577469662212,0.5,871711,0.223577469662212
"190",200,100,0.2,0.280147562404595,0.23731829071012,0.5,777699,0.23731829071012
"191",100,100,0.1,0.865852743846637,0.392075100871843,0,906331,0.392075100871843
"192",200,100,0.1,0.541053512967443,0.277464777208057,0,208711,0.277464777208057
"193",100,100,0.1,0.606030613687516,0.3624290833962,0.5,8868,0.3624290833962
"194",200,100,0.1,0.463914240625744,0.253027436712494,0.5,904899,0.253027436712494
"195",100,100,0.2,0.461314062806007,0.377471245731912,0,459559,0.377471245731912
"196",200,100,0.2,0.329087083899309,0.277322842432898,0,442287,0.277322842432898
"197",100,100,0.2,0.414946298879455,0.343865778139269,0.5,853597,0.343865778139269
"198",200,100,0.2,0.267435291542597,0.22193704323231,0.5,68657,0.22193704323231
"199",100,100,0.1,0.914841103748486,0.392814668862036,0,892803,0.392814668862036
"200",100,50,0.1,1.40877611785419,0.391955658375313,0,132834,0.391955658375313
"201",200,100,0.1,0.557352796377246,0.277432072431939,0,84123,0.277432072431939
"202",100,100,0.1,0.293234161203212,0.271950300516494,0.5,626320,0.271950300516494
"203",200,100,0.1,0.475681679729806,0.259310835908869,0.5,500168,0.259310835908869
"204",100,100,0.2,0.470120036358181,0.387924923737117,0,731458,0.387924923737117
"205",200,100,0.2,0.336364967975502,0.277150143407099,0,85063,0.277150143407099
"206",100,100,0.2,0.363488685492408,0.312485009432213,0.5,955167,0.312485009432213
"207",200,100,0.2,0.327598690840423,0.253859625207201,0.5,499732,0.253859625207201
"208",100,100,0.1,0.827873109826368,0.386339956118181,0,364597,0.386339956118181
"209",200,100,0.1,0.665131193361994,0.273085274892039,0,935372,0.273085274892039
"210",100,100,0.1,0.573915455035809,0.356332153267947,0.5,797189,0.356332153267947
"211",100,50,0.2,0.600581563041067,0.392833306898679,0,994324,0.392833306898679
"212",200,50,0.1,1.21224453575301,0.277404922873428,0,769553,0.277404922873428
"213",200,100,0.1,0.467874961038807,0.2512020570258,0.5,636381,0.2512020570258
"214",100,100,0.2,0.487386738873695,0.381256572190585,0,225560,0.381256572190585
"215",200,100,0.2,0.337125634518889,0.27748198013865,0,222876,0.27748198013865
"216",100,100,0.2,0.431279260633536,0.343663643659646,0.5,618051,0.343663643659646
"217",200,100,0.2,0.272817078160609,0.226839667499233,0.5,766,0.226839667499233
"218",100,100,0.1,0.623685085861929,0.361920206915486,0,105357,0.361920206915486
"219",200,100,0.1,0.53029386571687,0.277029961431317,0,851987,0.277029961431317
"220",100,100,0.1,0.536142242588788,0.328951527548033,0.5,660488,0.328951527548033
"221",200,100,0.1,0.423846170428524,0.257993585131807,0.5,871990,0.257993585131807
"222",100,100,0.2,0.494442098232334,0.39267021150568,0,434183,0.39267021150568
